,X,Y,Elevation,Distance,tau,geometry
142,665719.65661,3597234.15221,3281.0,8820.214280248081,2623725.361783819,POINT (665719.6566099999 3597234.15221)
143,668359.65661,3597234.15221,3674.0051,12189.991334482213,4080180.247674473,POINT (668359.6566099999 3597234.15221)
144,668389.65661,3597234.15221,3680.0,12219.991334482213,4099078.9520632303,POINT (668389.6566099999 3597234.15221)
145,664729.65661,3597204.15221,3185.0,7633.523804664962,2212938.2310996978,POINT (664729.6566099999 3597204.15221)
146,664759.65661,3597204.15221,3190.0,7663.523804664962,2222479.3983982033,POINT (664759.6566099999 3597204.15221)
147,664789.65661,3597204.15221,3195.0,7693.523804664962,2232020.604324439,POINT (664789.6566099999 3597204.15221)
148,665719.65661,3597204.15221,3289.0,8850.214280248081,2634658.9522430585,POINT (665719.6566099999 3597204.15221)
149,668359.65661,3597204.15221,3674.0,12159.991334482213,4061299.387083785,POINT (668359.6566099999 3597204.15221)
150,664699.65661,3597174.15221,3182.0,7591.097397793769,2199447.1576856356,POINT (664699.6566099999 3597174.15221)
151,665749.65661,3597174.15221,3292.0,8892.640687119274,2650126.8815556755,POINT (665749.6566099999 3597174.15221)
152,665779.65661,3597174.15221,3292.0051,8922.640687119274,2661065.1883553113,POINT (665779.6566099999 3597174.15221)
153,665809.65661,3597174.15221,3294.0,8952.640687119274,2672062.0514500523,POINT (665809.6566099999 3597174.15221)
154,668329.65661,3597174.15221,3662.0,12117.56492761102,4034598.4987689108,POINT (668329.6566099999 3597174.15221)
155,664669.65661,3597144.15221,3177.022,7548.6709909225765,2185956.1929765255,POINT (664669.6566099999 3597144.15221)
156,665809.65661,3597144.15221,3300.0,8982.640687119274,2683059.825506997,POINT (665809.6566099999 3597144.15221)
157,668329.65661,3597144.15221,3648.0,12087.56492761102,4015719.56350373,POINT (668329.6566099999 3597144.15221)
158,664639.65661,3597114.15221,3177.0146,7506.244584051384,2172472.178645993,POINT (664639.6566099999 3597114.15221)
159,665839.65661,3597114.15221,3310.0,9025.067093990467,2698613.1187704434,POINT (665839.6566099999 3597114.15221)
160,668299.65661,3597114.15221,3637.0,12045.138520739827,3989092.499545324,POINT (668299.6566099999 3597114.15221)
161,664609.65661,3597084.15221,3177.0073,7463.818177180191,2158988.7067556283,POINT (664609.6566099999 3597084.15221)
162,665869.65661,3597084.15221,3318.0,9067.49350086166,2714166.8722451422,POINT (665869.6566099999 3597084.15221)
163,668269.65661,3597084.15221,3627.0,12002.712113868634,3962474.189996801,POINT (668269.6566099999 3597084.15221)
164,664579.65661,3597054.15221,3177.0,7421.391770308998,2145506.9156755023,POINT (664579.6566099999 3597054.15221)
165,665899.65661,3597054.15221,3318.0073,9109.919907732852,2729721.638362106,POINT (665899.6566099999 3597054.15221)
166,668239.65661,3597054.15221,3616.0,11960.285706997442,3935866.640491737,POINT (668239.6566099999 3597054.15221)
167,664519.65661,3597024.15221,3173.0,7348.9653634378055,2122514.7981332703,POINT (664519.6566099999 3597024.15221)
168,664549.65661,3597024.15221,3173.0073,7378.9653634378055,2132038.221503464,POINT (664549.6566099999 3597024.15221)
169,665929.65661,3597024.15221,3321.0,9152.346314604045,2745283.8687336063,POINT (665929.6566099999 3597024.15221)
170,665959.65661,3597024.15221,3324.0,9182.346314604045,2756288.3534711106,POINT (665959.6566099999 3597024.15221)
171,665989.65661,3597024.15221,3341.0,9212.346314604045,2767338.8501656256,POINT (665989.6566099999 3597024.15221)
172,666019.65661,3597024.15221,3345.0,9242.346314604045,2778390.937077153,POINT (666019.6566099999 3597024.15221)
